Lake,Depth (ft),Depth (m),Image Area,Map area (acres),Area (hectares),map area scale factor,,notes
Tern,-9,-2.743199912,85,15.51094891,6.277058319,0.182481752,,
Tern,-10,-3.047999902,66,12.04379562,4.873951166,0.182481752,,
Tern,-11,-3.352799893,54,9.854014599,3.987778226,0.182481752,,
Tern,-12,-3.657599883,35,6.386861314,2.584671073,0.182481752,,
Tern,-13,-3.962399873,23,4.197080292,1.698498133,0.182481752,,
Tern,-14,-4.267199863,10,1.824817518,0.738477449,0.182481752,,
Tern,-15,-4.571999854,2,0.364963504,0.14769549,0.182481752,,
Tern,-15.5,-4.724399849,0,0,0,0.182481752,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
